time (s),pulsewidth (us),force (lb)
0.000,1750,2.78
0.002,1750,2.93
0.004,1750,3.00
0.006,1750,3.07
0.008,1750,2.78
0.010,1750,2.78
0.012,1750,2.78
0.014,1750,2.86
0.016,1750,2.78
0.018,1750,2.93
0.020,1750,2.86
0.022,1750,2.78
0.024,1750,2.71
0.026,1750,3.00
0.028,1750,2.71
0.030,1750,2.78
0.032,1750,2.78
0.034,1750,3.00
0.036,1750,2.86
0.038,1750,3.00
0.040,1750,3.07
0.042,1750,3.07
0.044,1750,2.78
0.046,1750,2.86
0.048,1750,2.78
0.050,1750,2.93
0.052,1750,2.86
0.054,1750,2.64
0.056,1750,2.57
0.058,1750,2.93
0.060,1750,3.07
0.062,1750,3.14
0.064,1750,2.86
0.066,1750,2.57
0.068,1750,2.78
0.070,1750,2.86
0.072,1750,2.93
0.074,1750,2.86
0.076,1750,2.57
0.078,1750,2.71
0.080,1750,3.00
0.082,1750,3.21
0.084,1750,2.93
0.086,1750,2.86
0.088,1750,2.64
0.090,1750,2.57
0.092,1750,2.93
0.094,1750,3.00
0.096,1750,2.78
0.098,1751,2.71
0.100,1751,2.71
0.102,1751,2.93
0.104,1751,3.07
0.106,1751,3.00
0.108,1751,2.78
0.110,1751,2.64
0.112,1751,2.78
0.114,1751,2.93
0.116,1751,2.57
0.118,1751,2.71
0.120,1751,2.86
0.122,1751,2.86
0.124,1751,2.93
0.126,1751,2.86
0.128,1751,2.86
0.130,1751,2.78
0.132,1751,2.86
0.134,1751,3.00
0.136,1751,2.71
0.138,1751,2.86
0.140,1751,2.86
0.142,1751,2.78
0.144,1751,2.78
0.146,1751,2.64
0.148,1751,2.71
0.150,1751,2.78
0.152,1751,2.78
0.154,1751,2.86
0.156,1751,2.86
0.158,1751,2.78
0.160,1751,2.93
0.162,1751,2.78
0.164,1751,2.86
0.166,1751,2.71
0.168,1751,3.00
0.170,1752,2.64
0.172,1752,2.78
0.174,1752,2.78
0.176,1752,2.64
0.178,1752,2.93
0.180,1752,3.00
0.182,1752,2.93
0.184,1752,2.93
0.186,1752,2.78
0.188,1752,2.86
0.190,1752,2.71
0.192,1752,2.78
0.194,1752,2.93
0.196,1752,2.86
0.198,1752,2.64
0.200,1752,2.86
0.202,1752,2.93
0.204,1752,3.07
0.206,1752,2.93
0.208,1752,2.86
0.210,1752,2.71
0.212,1752,3.00
0.214,1752,3.14
0.216,1752,2.86
0.218,1752,2.78
0.220,1753,2.78
0.222,1753,2.93
0.224,1753,3.21
0.226,1753,2.86
0.228,1753,2.78
0.230,1753,2.64
0.232,1753,2.78
0.234,1753,3.00
0.236,1753,3.07
0.238,1753,2.78
0.240,1753,2.86
0.242,1753,2.93
0.244,1753,3.14
0.246,1753,2.93
0.248,1753,2.93
0.250,1753,2.71
0.252,1753,2.78
0.254,1753,2.93
0.256,1753,2.86
0.258,1753,2.71
0.260,1754,2.78
0.262,1754,3.00
0.264,1754,3.14
0.266,1754,2.93
0.268,1754,3.00
0.270,1754,2.93
0.272,1754,2.93
0.274,1754,3.00
0.276,1754,2.78
0.278,1754,2.71
0.280,1754,2.93
0.282,1754,2.93
0.284,1754,3.00
0.286,1754,2.86
0.288,1754,2.86
0.290,1754,2.93
0.292,1754,2.86
0.294,1755,2.93
0.296,1755,2.93
0.298,1755,2.71
0.300,1755,2.71
0.302,1755,3.14
0.304,1755,2.93
0.306,1755,2.71
0.308,1755,2.86
0.310,1755,2.86
0.312,1755,2.78
0.314,1755,3.00
0.316,1755,2.86
0.318,1755,2.93
0.320,1755,2.78
0.322,1755,3.00
0.324,1755,3.07
0.326,1756,2.86
0.328,1756,2.93
0.330,1756,2.86
0.332,1756,2.93
0.334,1756,3.14
0.336,1756,3.07
0.338,1756,2.86
0.340,1756,2.78
0.342,1756,2.86
0.344,1756,2.86
0.346,1756,2.86
0.348,1756,2.93
0.350,1756,2.71
0.352,1756,2.71
0.354,1757,2.93
0.356,1757,3.00
0.358,1757,3.00
0.360,1757,2.86
0.362,1757,3.00
0.364,1757,3.00
0.366,1757,2.86
0.368,1757,3.00
0.370,1757,2.78
0.372,1757,2.86
0.374,1757,2.86
0.376,1757,2.86
0.378,1757,3.00
0.380,1758,3.00
0.382,1758,3.07
0.384,1758,3.00
0.386,1758,2.86
0.388,1758,3.00
0.390,1758,2.93
0.392,1758,3.00
0.394,1758,2.93
0.396,1758,3.07
0.398,1758,2.78
0.400,1758,2.86
0.402,1758,3.50
0.404,1759,2.93
0.406,1759,2.93
0.408,1759,2.78
0.410,1759,2.93
0.412,1759,3.00
0.414,1759,2.93
0.416,1759,2.93
0.418,1759,2.78
0.420,1759,2.86
0.422,1759,3.21
0.424,1759,3.28
0.426,1759,3.00
0.428,1760,2.93
0.430,1760,3.07
0.432,1760,3.07
0.434,1760,2.93
0.436,1760,2.93
0.438,1760,2.71
0.440,1760,2.78
0.442,1760,3.21
0.444,1760,3.28
0.446,1760,3.14
0.448,1760,3.07
0.450,1761,2.93
0.452,1761,3.07
0.454,1761,2.86
0.456,1761,2.93
0.458,1761,2.71
0.460,1761,2.93
0.462,1761,2.93
0.464,1761,3.07
0.466,1761,3.07
0.468,1761,3.07
0.470,1761,3.07
0.472,1762,2.93
0.474,1762,3.00
0.476,1762,3.00
0.478,1762,3.00
0.480,1762,3.14
0.482,1762,3.14
0.484,1762,2.93
0.486,1762,3.14
0.488,1762,3.07
0.490,1762,2.93
0.492,1763,3.07
0.494,1763,3.14
0.496,1763,3.07
0.498,1763,2.93
0.500,1763,3.28
0.502,1763,3.00
0.504,1763,3.07
0.506,1763,3.00
0.508,1763,3.00
0.510,1763,2.86
0.512,1764,3.14
0.514,1764,3.14
0.516,1764,3.28
0.518,1764,2.86
0.520,1764,3.21
0.522,1764,3.07
0.524,1764,3.00
0.526,1764,3.14
0.528,1764,2.93
0.530,1764,2.86
0.532,1765,3.14
0.534,1765,3.00
0.536,1765,3.21
0.538,1765,3.07
0.540,1765,3.43
0.542,1765,3.14
0.544,1765,3.00
0.546,1765,3.00
0.548,1765,2.86
0.550,1766,3.21
0.552,1766,2.86
0.554,1766,3.07
0.556,1766,2.93
0.558,1766,3.07
0.560,1766,3.57
0.562,1766,3.21
0.564,1766,3.21
0.566,1766,3.07
0.568,1767,2.93
0.570,1767,3.07
0.572,1767,3.00
0.574,1767,3.14
0.576,1767,3.07
0.578,1767,3.14
0.580,1767,3.28
0.582,1767,3.00
0.584,1767,3.35
0.586,1768,3.21
0.588,1768,3.07
0.590,1768,2.93
0.592,1768,3.00
0.594,1768,3.28
0.596,1768,2.93
0.598,1768,3.14
0.600,1768,3.28
0.602,1769,3.00
0.604,1769,3.35
0.606,1769,3.07
0.608,1769,3.21
0.610,1769,3.21
0.612,1769,3.07
0.614,1769,3.35
0.616,1769,2.93
0.618,1769,3.43
0.620,1770,3.07
0.622,1770,3.07
0.624,1770,3.07
0.626,1770,2.93
0.628,1770,3.28
0.630,1770,3.14
0.632,1770,3.14
0.634,1770,3.14
0.636,1771,3.00
0.638,1771,3.43
0.640,1771,2.93
0.642,1771,3.28
0.644,1771,3.14
0.646,1771,2.93
0.648,1771,3.21
0.650,1771,3.14
0.652,1772,3.50
0.654,1772,3.14
0.656,1772,3.14
0.658,1772,3.43
0.660,1772,3.07
0.662,1772,3.43
0.664,1772,3.07
0.666,1772,3.21
0.668,1773,3.21
0.670,1773,3.00
0.672,1773,3.28
0.674,1773,3.07
0.676,1773,3.57
0.678,1773,3.35
0.680,1773,3.35
0.682,1773,3.28
0.684,1774,2.93
0.686,1774,3.14
0.688,1774,2.93
0.690,1774,3.07
0.692,1774,3.21
0.694,1774,3.14
0.696,1774,3.50
0.698,1774,3.21
0.700,1775,3.21
0.702,1775,3.07
0.704,1775,3.07
0.706,1775,3.28
0.708,1775,2.93
0.710,1775,3.21
0.712,1775,2.93
0.714,1775,3.50
0.716,1776,3.43
0.718,1776,3.21
0.720,1776,3.43
0.722,1776,3.14
0.724,1776,3.21
0.726,1776,3.14
0.728,1776,3.28
0.730,1776,3.35
0.732,1777,3.28
0.734,1777,3.43
0.736,1777,3.14
0.738,1777,3.21
0.740,1777,3.07
0.742,1777,3.14
0.744,1777,3.35
0.746,1778,3.07
0.748,1778,3.43
0.750,1778,3.28
0.752,1778,3.57
0.754,1778,3.35
0.756,1778,3.21
0.758,1778,3.28
0.760,1778,3.07
0.762,1779,3.28
0.764,1779,3.21
0.766,1779,3.14
0.768,1779,3.43
0.770,1779,3.43
0.772,1779,3.57
0.774,1779,3.50
0.776,1779,3.50
0.778,1780,3.28
0.780,1780,3.28
0.782,1780,3.21
0.784,1780,3.00
0.786,1780,3.35
0.788,1780,3.14
0.790,1780,3.57
0.792,1781,3.50
0.794,1781,3.50
0.796,1781,3.71
0.798,1781,3.28
0.800,1781,3.35
0.802,1781,3.14
0.804,1781,3.35
0.806,1781,3.07
0.808,1782,3.50
0.810,1782,3.43
0.812,1782,3.28
0.814,1782,3.50
0.816,1782,3.28
0.818,1782,3.57
0.820,1782,3.28
