time (s),pulsewidth (us),force (lb)
0.000,1750,2.90
0.002,1750,2.83
0.004,1750,2.61
0.006,1750,2.83
0.008,1750,2.68
0.010,1750,2.54
0.012,1750,2.83
0.014,1750,2.68
0.016,1750,2.97
0.018,1751,2.83
0.020,1751,2.90
0.022,1751,2.83
0.024,1751,2.76
0.026,1751,3.04
0.028,1751,2.61
0.030,1751,2.47
0.032,1752,2.90
0.034,1752,2.68
0.036,1752,2.76
0.038,1752,2.54
0.040,1753,2.61
0.042,1753,2.90
0.044,1753,2.76
0.046,1753,3.04
0.048,1754,2.90
0.050,1754,2.61
0.052,1754,2.83
0.054,1755,2.68
0.056,1755,2.76
0.058,1755,2.61
0.060,1756,2.61
0.062,1756,3.04
0.064,1756,2.76
0.066,1757,2.90
0.068,1757,2.97
0.070,1758,2.54
0.072,1758,2.76
0.074,1759,2.61
0.076,1759,2.97
0.078,1760,2.76
0.080,1760,2.97
0.082,1761,2.97
0.084,1761,2.68
0.086,1762,2.97
0.088,1762,2.90
0.090,1763,2.68
0.092,1763,2.97
0.094,1764,2.68
0.096,1764,2.97
0.098,1765,2.83
0.100,1766,3.04
0.102,1766,2.97
0.104,1767,2.90
0.106,1768,2.90
0.108,1768,3.18
0.110,1769,2.83
0.112,1770,3.33
0.114,1770,3.18
0.116,1771,3.04
0.118,1772,2.83
0.120,1773,2.90
0.122,1773,3.11
0.124,1774,3.18
0.126,1775,3.18
0.128,1776,2.90
0.130,1776,2.83
0.132,1777,3.18
0.134,1778,2.97
0.136,1779,3.25
0.138,1780,3.04
0.140,1781,3.18
0.142,1781,3.40
0.144,1782,3.11
0.146,1783,3.25
0.148,1784,3.11
0.150,1785,3.11
0.152,1786,3.11
0.154,1787,3.18
0.156,1788,3.40
0.158,1789,3.33
0.160,1790,3.25
0.162,1791,3.11
0.164,1792,3.25
0.166,1793,3.18
0.168,1794,3.33
0.170,1795,3.54
0.172,1796,3.40
0.174,1797,3.40
0.176,1798,3.33
0.178,1799,3.68
0.180,1800,3.54
0.182,1801,3.54
0.184,1802,3.47
0.186,1803,3.33
0.188,1804,3.54
0.190,1805,3.61
0.192,1806,3.54
0.194,1808,3.54
0.196,1809,3.54
0.198,1810,4.04
0.200,1811,3.54
0.202,1812,4.04
0.204,1813,3.68
0.206,1814,4.18
0.208,1816,3.54
0.210,1817,3.61
0.212,1818,3.68
0.214,1819,3.83
0.216,1820,4.04
0.218,1822,3.97
0.220,1823,4.04
0.222,1824,3.90
0.224,1825,4.04
0.226,1826,3.90
0.228,1828,3.97
0.230,1829,4.04
0.232,1830,4.04
0.234,1831,4.11
0.236,1833,4.18
0.238,1834,4.11
0.240,1835,4.18
0.242,1836,4.25
0.244,1838,4.04
0.246,1839,4.18
0.248,1840,3.97
0.250,1841,4.47
0.252,1843,4.40
0.254,1844,4.54
0.256,1845,4.54
0.258,1846,4.40
0.260,1848,4.75
0.262,1849,3.97
0.264,1850,4.97
0.266,1851,3.90
0.268,1852,4.90
0.270,1854,3.97
0.272,1855,5.18
0.274,1856,3.97
0.276,1857,5.18
0.278,1859,4.18
0.280,1860,4.68
0.282,1861,4.68
0.284,1862,4.75
0.286,1863,4.68
0.288,1865,4.61
0.290,1866,4.97
0.292,1867,4.83
0.294,1868,5.04
0.296,1869,5.04
0.298,1870,4.83
0.300,1871,4.90
0.302,1872,4.75
0.304,1874,5.11
0.306,1875,4.90
0.308,1876,4.97
0.310,1877,4.33
0.312,1878,5.32
0.314,1879,4.75
0.316,1880,5.54
0.318,1881,4.97
0.320,1882,5.25
0.322,1883,4.97
0.324,1884,4.97
0.326,1885,5.04
0.328,1885,5.47
0.330,1886,5.04
0.332,1887,5.18
0.334,1888,4.97
0.336,1889,5.40
0.338,1890,5.25
0.340,1890,5.11
0.342,1891,5.40
0.344,1892,5.18
0.346,1893,5.04
0.348,1893,5.32
0.350,1894,5.40
0.352,1894,5.54
0.354,1895,5.11
0.356,1896,5.04
0.358,1896,5.61
0.360,1897,5.32
0.362,1897,5.68
0.364,1897,5.32
0.366,1898,5.40
0.368,1898,5.61
0.370,1899,5.25
0.372,1899,5.90
0.374,1899,5.61
0.376,1899,5.32
0.378,1900,5.61
0.380,1900,5.25
0.382,1900,5.97
0.384,1900,5.25
0.386,1900,5.40
0.388,1900,5.68
0.390,1900,5.18
0.392,1900,5.47
0.394,1900,5.75
0.396,1900,5.68
0.398,1899,5.25
0.400,1899,4.97
0.402,1899,5.90
0.404,1899,5.47
0.406,1898,5.75
0.408,1898,5.32
0.410,1897,5.68
0.412,1897,5.40
0.414,1896,5.32
0.416,1896,5.82
0.418,1895,5.82
0.420,1894,5.18
0.422,1894,5.61
0.424,1893,5.32
0.426,1892,5.75
0.428,1891,5.47
0.430,1890,5.32
0.432,1889,5.82
0.434,1888,4.97
0.436,1887,5.61
0.438,1886,5.61
0.440,1885,5.61
0.442,1883,5.47
0.444,1882,4.75
0.446,1881,5.61
0.448,1879,5.47
0.450,1878,5.32
0.452,1876,5.54
0.454,1875,5.32
0.456,1873,5.25
0.458,1872,4.97
0.460,1870,5.11
0.462,1868,5.54
0.464,1866,4.83
0.466,1864,5.04
0.468,1862,4.83
0.470,1861,5.40
0.472,1858,4.90
0.474,1856,4.83
0.476,1854,5.04
0.478,1852,4.68
0.480,1850,4.90
0.482,1848,5.04
0.484,1845,5.11
0.486,1843,5.11
0.488,1841,4.61
0.490,1838,4.83
0.492,1836,4.90
0.494,1833,4.75
0.496,1830,4.83
0.498,1828,4.90
0.500,1825,4.54
0.502,1822,4.47
0.504,1819,4.25
0.506,1817,4.54
0.508,1814,4.33
0.510,1811,4.25
0.512,1808,4.18
0.514,1805,4.18
0.516,1802,4.04
0.518,1799,4.47
0.520,1796,3.68
0.522,1793,4.25
0.524,1789,3.68
0.526,1786,4.11
0.528,1783,3.61
0.530,1780,3.90
0.532,1777,3.97
0.534,1773,3.40
0.536,1770,3.75
0.538,1767,3.04
0.540,1763,3.68
0.542,1760,3.18
0.544,1756,3.47
0.546,1753,2.97
0.548,1750,3.40
0.550,1746,2.90
0.552,1743,3.18
0.554,1739,3.33
0.556,1736,2.68
0.558,1732,3.04
0.560,1729,2.54
0.562,1725,2.97
0.564,1722,2.61
0.566,1718,2.90
0.568,1715,2.68
0.570,1711,2.61
0.572,1708,2.68
0.574,1704,2.18
0.576,1701,2.47
0.578,1698,2.26
0.580,1694,2.47
0.582,1691,2.40
0.584,1687,2.18
0.586,1684,2.26
0.588,1681,2.18
0.590,1678,1.90
0.592,1674,2.11
0.594,1671,1.97
0.596,1668,1.68
0.598,1665,1.68
0.600,1662,1.90
0.602,1659,2.04
0.604,1656,1.83
0.606,1653,1.90
0.608,1650,1.47
0.610,1647,1.54
0.612,1644,1.47
0.614,1642,1.47
0.616,1639,1.76
0.618,1637,1.04
0.620,1634,1.33
0.622,1632,1.33
0.624,1629,1.33
0.626,1627,1.40
0.628,1625,1.26
0.630,1623,1.04
0.632,1621,1.11
0.634,1619,1.18
0.636,1617,1.04
0.638,1615,1.04
0.640,1613,1.04
0.642,1612,0.97
0.644,1610,1.04
0.646,1609,1.18
0.648,1607,1.11
0.650,1606,1.04
0.652,1605,0.69
0.654,1604,0.97
0.656,1603,1.04
0.658,1602,0.83
0.660,1602,0.97
0.662,1601,0.61
0.664,1601,0.61
0.666,1600,0.76
0.668,1600,0.76
0.670,1600,0.76
0.672,1600,0.69
0.674,1600,0.33
0.676,1600,0.61
0.678,1601,0.61
0.680,1601,0.69
0.682,1602,0.54
0.684,1603,0.47
0.686,1603,0.40
0.688,1604,0.33
0.690,1606,0.54
0.692,1607,0.61
0.694,1608,0.47
0.696,1610,0.33
0.698,1611,0.54
0.700,1613,0.76
0.702,1615,0.69
0.704,1617,0.61
0.706,1619,0.47
0.708,1621,0.54
0.710,1623,0.47
0.712,1626,0.97
0.714,1628,0.76
0.716,1631,0.69
0.718,1634,0.54
0.720,1637,0.47
0.722,1640,0.83
0.724,1643,0.76
0.726,1646,0.90
0.728,1650,0.90
0.730,1653,0.83
0.732,1657,1.04
0.734,1660,1.11
0.736,1664,1.18
0.738,1668,0.97
0.740,1672,1.04
0.742,1676,1.11
0.744,1680,1.26
0.746,1684,1.47
0.748,1688,1.40
0.750,1693,1.18
0.752,1697,1.18
0.754,1701,1.26
0.756,1706,1.54
0.758,1711,1.83
0.760,1715,1.54
0.762,1720,1.76
0.764,1725,1.68
0.766,1729,1.68
0.768,1734,2.04
0.770,1739,1.97
0.772,1744,2.04
0.774,1749,1.68
0.776,1753,2.26
0.778,1758,1.97
0.780,1763,2.11
0.782,1768,2.47
0.784,1773,2.47
0.786,1778,2.40
0.788,1783,2.83
0.790,1787,2.97
0.792,1792,2.97
0.794,1797,3.04
0.796,1802,2.90
0.798,1806,3.04
0.800,1811,3.04
0.802,1816,3.18
0.804,1820,3.40
0.806,1825,3.40
0.808,1829,3.47
0.810,1833,3.68
0.812,1837,3.90
0.814,1841,3.61
0.816,1845,3.75
0.818,1849,3.90
0.820,1853,4.18
0.822,1857,3.97
0.824,1860,4.04
0.826,1864,4.04
0.828,1867,4.11
0.830,1870,4.61
0.832,1873,4.47
0.834,1876,4.54
0.836,1879,4.61
0.838,1882,4.47
0.840,1884,5.11
0.842,1886,4.47
0.844,1888,5.47
0.846,1890,4.61
0.848,1892,4.90
0.850,1894,4.90
0.852,1895,5.25
0.854,1896,5.32
0.856,1898,5.32
0.858,1898,4.83
0.860,1899,5.40
0.862,1900,5.32
0.864,1900,5.90
0.866,1900,5.61
0.868,1900,5.61
0.870,1900,5.18
0.872,1899,5.11
0.874,1898,5.54
0.876,1898,5.75
0.878,1896,5.47
0.880,1895,5.47
0.882,1894,5.11
0.884,1892,5.54
0.886,1890,5.61
0.888,1888,5.32
0.890,1886,5.75
0.892,1883,5.32
0.894,1880,5.40
0.896,1878,5.75
0.898,1875,5.54
0.900,1871,5.61
0.902,1868,5.32
0.904,1864,4.83
0.906,1861,5.82
0.908,1857,4.90
0.910,1853,5.61
0.912,1848,5.11
0.914,1844,4.90
0.916,1839,4.83
0.918,1835,4.47
0.920,1830,5.32
0.922,1825,4.75
0.924,1820,4.61
0.926,1815,4.61
0.928,1809,4.54
0.930,1804,4.54
0.932,1798,4.54
0.934,1793,3.97
0.936,1787,4.83
0.938,1781,3.61
0.940,1776,4.25
0.942,1770,3.75
0.944,1764,3.97
0.946,1758,3.25
0.948,1752,3.54
0.950,1746,2.90
0.952,1740,3.54
0.954,1734,3.18
0.956,1728,3.40
0.958,1722,3.04
0.960,1716,3.33
0.962,1711,2.61
0.964,1705,2.90
0.966,1699,2.97
0.968,1693,2.40
0.970,1688,2.47
0.972,1682,2.40
0.974,1677,2.26
0.976,1672,2.40
0.978,1666,1.90
0.980,1661,2.11
0.982,1656,1.83
0.984,1652,2.11
0.986,1647,1.97
0.988,1643,1.68
0.990,1638,1.68
0.992,1634,1.47
0.994,1630,1.68
0.996,1627,1.33
0.998,1623,1.54
1.000,1620,1.26
1.002,1617,1.26
1.004,1614,1.11
1.006,1612,1.18
1.008,1609,1.26
1.010,1607,0.90
1.012,1605,1.04
1.014,1604,0.97
1.016,1603,1.11
1.018,1602,1.11
1.020,1601,1.11
1.022,1600,0.90
1.024,1600,0.90
1.026,1600,0.97
1.028,1600,0.97
1.030,1601,0.76
1.032,1602,0.83
1.034,1603,0.47
1.036,1604,0.83
1.038,1606,0.69
1.040,1608,0.54
1.042,1610,0.69
1.044,1613,0.26
1.046,1616,0.54
1.048,1619,0.54
1.050,1622,0.54
1.052,1626,0.69
1.054,1630,0.47
1.056,1634,0.61
1.058,1638,0.61
1.060,1642,0.76
1.062,1647,0.69
1.064,1652,0.83
1.066,1657,0.47
1.068,1663,0.69
1.070,1668,1.04
1.072,1674,0.97
1.074,1680,1.26
1.076,1686,0.90
1.078,1692,1.11
1.080,1698,1.04
1.082,1705,1.40
1.084,1711,1.47
1.086,1718,1.40
1.088,1725,1.47
1.090,1731,1.33
1.092,1738,1.47
1.094,1745,1.76
1.096,1752,1.54
1.098,1759,1.61
1.100,1766,1.40
1.102,1773,1.76
1.104,1779,2.76
1.106,1786,2.68
1.108,1793,3.11
1.110,1799,3.11
1.112,1806,2.90
1.114,1812,3.25
1.116,1819,3.47
1.118,1825,3.75
1.120,1831,3.47
1.122,1837,3.04
1.124,1842,3.25
1.126,1848,3.40
1.128,1853,4.11
1.130,1858,3.90
1.132,1863,4.04
1.134,1868,4.18
1.136,1872,4.04
1.138,1876,4.54
1.140,1880,4.61
1.142,1883,4.68
1.144,1886,4.33
1.146,1889,4.54
1.148,1892,4.33
1.150,1894,5.04
1.152,1896,4.83
1.154,1897,5.11
1.156,1898,5.11
1.158,1899,4.68
1.160,1900,5.61
1.162,1900,4.75
1.164,1900,5.75
1.166,1899,4.54
1.168,1898,5.75
1.170,1897,4.83
1.172,1895,5.32
1.174,1893,4.97
1.176,1891,5.61
1.178,1888,5.25
1.180,1885,5.47
1.182,1882,5.25
1.184,1878,5.61
1.186,1874,5.04
1.188,1870,5.47
1.190,1865,5.40
1.192,1861,5.25
1.194,1855,5.25
1.196,1850,4.90
1.198,1844,5.68
1.200,1838,4.97
1.202,1832,5.18
1.204,1825,4.90
1.206,1819,4.97
1.208,1812,4.90
1.210,1805,4.40
1.212,1798,4.40
1.214,1791,4.47
1.216,1783,4.04
1.218,1776,3.90
1.220,1768,4.18
1.222,1761,3.83
1.224,1753,4.04
1.226,1745,3.33
1.228,1737,3.83
1.230,1730,3.47
1.232,1722,3.33
1.234,1715,3.18
1.236,1707,2.83
1.238,1700,2.97
1.240,1692,2.18
1.242,1685,2.76
1.244,1678,2.26
1.246,1672,2.54
1.248,1665,2.26
1.250,1659,2.33
1.252,1653,1.97
1.254,1647,2.04
1.256,1641,1.83
1.258,1636,1.97
1.260,1631,1.61
1.262,1626,1.97
1.264,1622,1.18
1.266,1618,1.47
1.268,1614,1.04
1.270,1611,1.26
1.272,1608,1.33
1.274,1606,1.04
1.276,1604,1.18
1.278,1602,0.83
1.280,1601,1.04
1.282,1600,1.11
1.284,1600,1.04
1.286,1600,1.18
1.288,1601,0.69
1.290,1602,1.11
1.292,1603,1.04
1.294,1605,0.83
1.296,1607,0.97
1.298,1610,0.76
1.300,1613,0.69
1.302,1617,0.54
1.304,1620,0.76
1.306,1625,0.76
1.308,1629,0.61
1.310,1635,0.47
1.312,1640,0.61
1.314,1646,0.69
1.316,1652,0.69
1.318,1658,0.90
1.320,1665,0.76
1.322,1672,0.83
1.324,1679,0.76
1.326,1687,1.04
1.328,1694,1.04
1.330,1702,1.04
1.332,1710,0.90
1.334,1718,0.76
1.336,1726,1.26
1.338,1735,1.33
1.340,1743,1.47
1.342,1752,1.54
1.344,1760,1.68
1.346,1768,1.47
1.348,1777,1.76
1.350,1785,1.76
1.352,1793,1.97
1.354,1801,3.33
1.356,1809,3.25
1.358,1817,3.40
1.360,1824,3.54
1.362,1832,3.61
1.364,1839,3.18
1.366,1846,3.47
1.368,1852,3.97
1.370,1858,3.75
1.372,1864,3.47
1.374,1869,3.97
1.376,1874,4.11
1.378,1879,4.40
1.380,1883,4.40
1.382,1887,4.75
1.384,1890,4.75
1.386,1893,4.54
1.388,1895,4.83
1.390,1897,5.25
1.392,1899,4.54
1.394,1900,4.90
1.396,1900,4.68
1.398,1900,4.90
1.400,1899,5.47
1.402,1898,5.11
1.404,1896,5.61
1.406,1894,5.18
1.408,1891,5.32
1.410,1888,5.04
1.412,1885,5.54
1.414,1880,5.25
1.416,1876,5.11
1.418,1871,4.83
1.420,1865,5.11
1.422,1859,5.18
1.424,1853,5.47
1.426,1846,5.11
1.428,1839,5.32
1.430,1832,4.75
1.432,1824,4.97
1.434,1816,5.04
1.436,1808,5.04
1.438,1800,4.75
1.440,1791,4.11
1.442,1782,3.97
1.444,1773,4.18
1.446,1764,4.33
1.448,1755,3.97
1.450,1746,3.97
1.452,1737,3.68
1.454,1728,3.33
1.456,1719,3.18
1.458,1710,3.18
1.460,1701,3.33
1.462,1693,2.54
1.464,1684,2.83
1.466,1676,2.26
1.468,1668,2.83
1.470,1661,2.47
1.472,1653,2.33
1.474,1647,2.54
1.476,1640,1.61
1.478,1634,2.04
1.480,1628,1.76
1.482,1623,1.90
1.484,1618,1.54
1.486,1614,1.26
1.488,1610,1.04
1.490,1607,1.18
1.492,1605,1.11
1.494,1603,1.26
1.496,1601,1.18
1.498,1600,0.83
1.500,1600,0.90
1.502,1600,0.90
1.504,1601,1.40
1.506,1603,1.04
1.508,1605,0.90
1.510,1607,0.83
1.512,1611,0.76
1.514,1614,0.83
1.516,1619,0.83
1.518,1624,0.83
1.520,1629,0.76
1.522,1635,0.54
1.524,1641,0.69
1.526,1648,0.90
1.528,1655,0.76
1.530,1663,0.61
1.532,1671,0.69
1.534,1679,0.76
1.536,1688,0.90
1.538,1697,0.90
1.540,1706,1.11
1.542,1715,0.90
1.544,1725,1.04
1.546,1735,1.18
1.548,1744,1.61
1.550,1754,1.54
1.552,1764,1.47
1.554,1773,1.40
1.556,1783,1.33
1.558,1792,1.76
1.560,1802,1.54
1.562,1811,1.54
1.564,1820,2.33
1.566,1828,3.54
1.568,1836,4.33
1.570,1844,4.25
1.572,1852,4.33
1.574,1859,4.47
1.576,1865,3.75
1.578,1871,3.97
1.580,1877,4.68
1.582,1882,3.97
1.584,1886,3.97
1.586,1890,3.90
1.588,1893,4.75
1.590,1896,4.75
1.592,1898,5.04
1.594,1899,5.04
1.596,1900,5.18
1.598,1900,4.54
1.600,1899,5.32
1.602,1898,5.32
1.604,1896,5.40
1.606,1893,5.18
1.608,1890,4.90
1.610,1886,5.25
1.612,1881,5.11
1.614,1876,5.11
1.616,1870,5.11
1.618,1864,5.32
1.620,1857,5.11
1.622,1849,5.25
1.624,1841,5.25
1.626,1833,5.25
1.628,1824,5.04
1.630,1815,4.61
1.632,1806,4.47
1.634,1796,4.40
1.636,1787,4.04
1.638,1776,4.33
1.640,1766,4.33
1.642,1756,4.33
1.644,1746,4.18
1.646,1735,4.04
1.648,1725,3.47
1.650,1715,3.61
1.652,1705,3.25
1.654,1695,3.11
1.656,1686,2.61
1.658,1676,2.90
1.660,1667,2.47
1.662,1659,2.76
1.664,1651,2.47
1.666,1643,2.11
1.668,1636,1.97
1.670,1630,1.76
1.672,1624,2.04
1.674,1618,1.61
1.676,1614,1.47
1.678,1610,1.54
1.680,1606,1.33
1.682,1604,1.18
1.684,1602,1.61
1.686,1600,0.97
1.688,1600,1.33
1.690,1600,0.90
1.692,1601,0.97
1.694,1603,0.97
1.696,1606,0.90
1.698,1609,0.97
1.700,1613,0.76
1.702,1618,0.61
1.704,1623,0.83
1.706,1629,0.69
1.708,1636,1.04
1.710,1643,0.76
1.712,1651,0.76
1.714,1659,1.04
1.716,1668,0.61
1.718,1677,1.18
1.720,1687,0.76
1.722,1697,1.04
1.724,1707,0.90
1.726,1717,0.97
1.728,1728,1.11
1.730,1739,0.97
1.732,1750,1.04
1.734,1761,1.47
1.736,1771,1.40
1.738,1782,1.83
1.740,1793,1.76
1.742,1803,1.76
1.744,1813,1.97
1.746,1823,3.04
1.748,1832,3.75
1.750,1841,3.97
1.752,1850,3.83
1.754,1858,4.47
1.756,1865,3.68
1.758,1872,3.68
1.760,1878,4.54
1.762,1883,4.33
1.764,1888,3.97
1.766,1892,3.83
1.768,1895,4.40
1.770,1898,5.18
1.772,1899,4.68
1.774,1900,5.11
1.776,1900,4.97
1.778,1899,4.90
1.780,1897,5.32
1.782,1895,5.40
1.784,1891,5.40
1.786,1887,4.90
